;50005305;50007476;50005964;50008374;
50025666;14.61;14.61;14.61;12.42;
50025667;14.45;14.45;14.45;12.28;
50025668;13.37;13.37;13.37;11.36;
50025669;15.63;15.63;15.63;13.29;
50025670;13.85;13.85;13.85;11.77;
50016985;1.19;1.19;1.19;1.01;
50016988;1.73;1.58;1.82;1.55;
50016989;1.7;1.55;1.79;1.52;
50016990;1.38;1.31;1.38;1.17;
50016991;1.77;1.53;1.77;1.5;
50033971;6.46;6.46;6.46;5.49;
50033975;3.02;3.02;3.02;2.57;
50033977;3.02;3.02;3.02;2.57;
50033978;3.02;3.02;3.02;2.57;
50033980;3.02;3.02;3.02;2.57;
50033982;2.457;2.457;2.457;2.457;
50033983;0.68;0.68;0.68;0.58;
50033984;0.68;0.68;0.68;0.58;
50033985;0.75;0.75;0.75;0.64;
50033986;0.75;0.75;0.75;0.64;
50033987;0.75;0.75;0.75;0.64;
50033988;0.75;0.75;0.75;0.64;
50033989;0.75;0.75;0.75;0.64;
50033990;0.75;0.75;0.75;0.64;
50033991;0.75;0.75;0.75;0.64;
50033992;0.75;0.75;0.75;0.64;
50033994;0.33;0.33;0.33;0.28;
50033995;0.33;0.33;0.33;0.28;
50033996;0.33;0.33;0.33;0.28;
50033997;0.33;0.33;0.33;0.28;
50034000;8.93;8.93;8.93;7.59;
50034001;13.41;13.41;13.41;11.4;
50034002;13.41;13.41;13.41;11.4;
50034003;8.27;8.27;8.27;7.03;
50034004;16.54;16.54;16.54;14.06;
50034005;14.07;14.07;14.07;11.96;
50034006;14.56;14.56;14.56;12.38;
50034007;12.59;12.59;12.59;10.7;
50034009;9.12;9.12;9.12;7.75;
50034011;7.87;7.87;7.87;6.69;
50034012;7.87;7.87;7.87;6.69;
50034013;7.87;7.87;7.87;6.69;
50034014;7.87;7.87;7.87;6.69;
50034015;15.56;15.56;15.56;13.23;
50034017;10.38;10.38;10.38;8.82;
50034018;10.38;10.38;10.38;8.82;
50034019;17.52;17.52;17.52;14.89;
50034020;17.52;17.52;17.52;14.89;
50034021;17.52;17.52;17.52;14.89;
50034022;22.16;22.16;22.16;18.84;
50034023;17.69;17.69;17.69;15.04;
50034024;30;30;30;25.5;
50034025;30;30;30;25.5;
50034026;30;30;30;25.5;
50034027;18.22;18.22;18.22;15.49;
50034028;18.22;18.22;18.22;15.49;
50034029;18.22;18.22;18.22;15.49;
50034031;18.22;18.22;18.22;15.49;
50034032;18.22;18.22;18.22;15.49;
50034035;22.86;22.86;22.86;19.43;
50034036;22.86;22.86;22.86;19.43;
50034040;10.4;10.4;10.4;8.84;
50034041;10.4;10.4;10.4;8.84;
50034042;18.14;18.14;18.14;15.42;
50034043;18.14;18.14;18.14;15.42;
50034044;18.14;18.14;18.14;15.42;
50034045;18.14;18.14;18.14;15.42;
50034049;26.04;26.04;26.04;22.13;
50034052;26.04;26.04;26.04;22.13;
50034053;26.04;26.04;26.04;22.13;
50034056;23.23;23.23;23.23;19.75;
50034058;33.93;33.93;33.93;28.84;
50034062;19.78;19.78;19.78;16.81;
50034063;19.78;19.78;19.78;16.81;
50034064;19.78;19.78;19.78;16.81;
50034065;19.78;19.78;19.78;16.81;
50034066;19.78;19.78;19.78;16.81;
50034067;19.78;19.78;19.78;16.81;
50034068;11.54;11.54;11.54;9.81;
50034069;11.54;11.54;11.54;9.81;
50034070;11.54;11.54;11.54;9.81;
50034071;11.54;11.54;11.54;9.81;
50034072;11.54;11.54;11.54;9.81;
50034073;11.54;11.54;11.54;9.81;
50034074;11.54;11.54;11.54;9.81;
50034075;11.54;11.54;11.54;9.81;
50034076;89.05;89.05;89.05;75.69;
50034077;23.62;23.62;23.62;20.08;
50034105;3.21;2.92;3.37;2.86;
50034110;8.3;8.3;8.3;5.43;
50034122;42.94;42.94;42.94;36.5;
50034129;66.86;66.86;66.86;56.83;
50034133;27.78;27.78;27.78;23.61;
50020835;18.15;18.15;18.15;15.43;
50020836;16.62;17.49;17.49;14.87;
50020838;18.87;19.86;19.86;16.88;
50020839;26.66;28.06;28.06;23.85;
50020906;1.37;1.37;1.37;1.16;
50020909;2.39;2.39;2.39;2.03;
50020911;1.74;1.74;1.74;1.48;
50020971;35.8;35.8;35.8;30.43;
50017866;6.19;6.19;6.19;5.26;
50026083;3.91;3.91;3.91;3.32;
50026084;4.26;4.26;4.26;3.62;
50026085;16.57;16.57;16.57;14.08;
50026086;6.47;6.47;6.47;5.5;
50026087;5.94;5.94;5.94;5.05;
50026088;7.38;7.38;7.38;6.27;
50026090;15.33;15.33;15.33;13.03;
50026091;37.76;37.76;37.76;32.1;
50026093;28.33;28.33;28.33;24.08;
50026094;28.06;28.06;28.06;23.85;
50026095;14.87;14.87;14.87;12.64;
50026096;20.28;20.28;20.28;17.24;
50026097;19.67;19.67;19.67;16.72;
50026098;19.67;19.67;19.67;16.72;
50026100;38.36;38.36;38.36;32.61;
